theme_1,theme_2,both_count,pct_theme1_with_theme2,pct_theme2_with_theme1
fgts,aviso_previo,1593,54.28,69.32
horas_extras,fgts,1101,44.0,37.51
verbas_rescisorias,fgts,928,50.41,31.62
horas_extras,aviso_previo,795,31.77,34.6
horas_extras,dano_moral,719,28.74,44.85
dano_moral,fgts,711,44.35,24.22
horas_extras,intervalo_intrajornada,609,24.34,75.94
verbas_rescisorias,aviso_previo,583,31.67,25.37
horas_extras,verbas_rescisorias,574,22.94,31.18
dano_moral,aviso_previo,475,29.63,20.67
dano_moral,verbas_rescisorias,414,25.83,22.49
relacao_emprego,fgts,388,56.73,13.22
horas_extras,insalubridade,364,14.55,44.5
fgts,intervalo_intrajornada,355,12.1,44.26
dano_moral,intervalo_intrajornada,330,20.59,41.15
rescisao_indireta,fgts,310,46.9,10.56
insalubridade,fgts,294,35.94,10.02
relacao_emprego,verbas_rescisorias,279,40.79,15.15
relacao_emprego,aviso_previo,278,40.64,12.1
horas_extras,relacao_emprego,263,10.51,38.45
dano_moral,insalubridade,246,15.35,30.07
aviso_previo,intervalo_intrajornada,218,9.49,27.18
dano_moral,rescisao_indireta,208,12.98,31.47
verbas_rescisorias,intervalo_intrajornada,206,11.19,25.69
insalubridade,aviso_previo,195,23.84,8.49
rescisao_indireta,aviso_previo,191,28.9,8.31
horas_extras,periculosidade,189,7.55,54.47
horas_extras,rescisao_indireta,186,7.43,28.14
rescisao_indireta,verbas_rescisorias,178,26.93,9.67
dano_moral,relacao_emprego,175,10.92,25.58
insalubridade,verbas_rescisorias,172,21.03,9.34
insalubridade,intervalo_intrajornada,133,16.26,16.58
periculosidade,fgts,129,37.18,4.4
dano_moral,periculosidade,118,7.36,34.01
insalubridade,periculosidade,102,12.47,29.39
relacao_emprego,intervalo_intrajornada,88,12.87,10.97
periculosidade,aviso_previo,86,24.78,3.74
rescisao_indireta,intervalo_intrajornada,83,12.56,10.35
periculosidade,intervalo_intrajornada,79,22.77,9.85
insalubridade,rescisao_indireta,75,9.17,11.35
relacao_emprego,rescisao_indireta,74,10.82,11.2
insalubridade,relacao_emprego,65,7.95,9.5
periculosidade,verbas_rescisorias,63,18.16,3.42
periculosidade,relacao_emprego,35,10.09,5.12
periculosidade,rescisao_indireta,33,9.51,4.99
