theme_1,theme_2,count
fgts,aviso_previo,1593
horas_extras,fgts,1101
verbas_rescisorias,fgts,928
horas_extras,aviso_previo,795
horas_extras,dano_moral,719
dano_moral,fgts,711
horas_extras,intervalo_intrajornada,609
verbas_rescisorias,aviso_previo,583
horas_extras,verbas_rescisorias,574
dano_moral,aviso_previo,475
dano_moral,verbas_rescisorias,414
relacao_emprego,fgts,388
horas_extras,insalubridade,364
fgts,intervalo_intrajornada,355
dano_moral,intervalo_intrajornada,330
rescisao_indireta,fgts,310
insalubridade,fgts,294
relacao_emprego,verbas_rescisorias,279
relacao_emprego,aviso_previo,278
horas_extras,relacao_emprego,263
dano_moral,insalubridade,246
aviso_previo,intervalo_intrajornada,218
dano_moral,rescisao_indireta,208
verbas_rescisorias,intervalo_intrajornada,206
insalubridade,aviso_previo,195
rescisao_indireta,aviso_previo,191
horas_extras,periculosidade,189
horas_extras,rescisao_indireta,186
rescisao_indireta,verbas_rescisorias,178
dano_moral,relacao_emprego,175
insalubridade,verbas_rescisorias,172
insalubridade,intervalo_intrajornada,133
periculosidade,fgts,129
dano_moral,periculosidade,118
insalubridade,periculosidade,102
relacao_emprego,intervalo_intrajornada,88
periculosidade,aviso_previo,86
rescisao_indireta,intervalo_intrajornada,83
periculosidade,intervalo_intrajornada,79
insalubridade,rescisao_indireta,75
relacao_emprego,rescisao_indireta,74
insalubridade,relacao_emprego,65
periculosidade,verbas_rescisorias,63
periculosidade,relacao_emprego,35
periculosidade,rescisao_indireta,33
