subject,count
Multa do Artigo  477 da CLT,2434
Multa de 40% do FGTS,2425
Aviso Prévio,2298
Multa do Artigo 467 da CLT,1964
Horas Extras,1937
Férias Proporcionais,1794
Verbas Rescisórias,1693
Décimo Terceiro Salário Proporcional,1644
FGTS,1602
Indenização por Dano Moral,1479
Saldo de Salário,1011
Adicional de Horas Extras,989
Honorários na Justiça do Trabalho,959
Décimo Terceiro Salário,883
Depósito/Diferenças,877
Anotação/Baixa/Retificação,859
Intervalo Intrajornada,806
Adicional de Insalubridade,803
Indenização/Dobra/Terço Constitucional,756
Reconhecimento de Relação de Emprego,684
Rescisão Indireta,661
Reflexos,632
Seguro Desemprego,598
Adicional de Hora Extra,539
Contratuais,468
Adicional Noturno,466
Indenização,454
Repouso Semanal Remunerado e Feriado,420
Levantamento/Liberação,412
Acúmulo de Função,403
