subject,count
Multa do Artigo  477 da CLT,264
Multa de 40% do FGTS,249
Horas Extras,237
Aviso Prévio,218
Multa do Artigo 467 da CLT,216
FGTS,189
Indenização por Dano Moral,180
Verbas Rescisórias,173
Décimo Terceiro Salário Proporcional,169
Férias Proporcionais,168
Adicional de Insalubridade,127
Saldo de Salário,107
Honorários na Justiça do Trabalho,89
Reconhecimento de Relação de Emprego,87
Seguro Desemprego,86
Décimo Terceiro Salário,81
Rescisão Indireta,78
Intervalo Intrajornada,74
Férias,65
Adicional de Horas Extras,64
Anotação/Baixa/Retificação,63
Depósito/Diferenças,62
Adicional de Periculosidade,51
Salário/Diferença Salarial,50
Indenização/Dobra/Terço Constitucional,50
Reflexos,47
Honorários Advocatícios,47
Obrigação de Dar,45
Sucumbenciais,44
Doença Ocupacional,42
